5 3
10
219 219 219 
219 32 219 
219 32 219 
219 32 219 
219 219 219
32 219 32 
32 219 32 
32 219 32 
32 219 32 
32 219 32 
219 219 219 
32 32 219 
219 219 219 
219 32 32 
219 219 219
219 219 219 
32 32 219 
219 219 219 
32 32 219 
219 219 219 
219 32 219 
219 32 219 
219 219 219 
32 32 219 
32 32 219 
219 219 219 
219 32 32 
219 219 219 
32 32 219 
219 219 219 
219 219 219 
219 32 32 
219 219 219 
219 32 219 
219 219 219 
219 219 219 
32 32 219 
32 32 219 
32 32 219 
32 32 219 
219 219 219 
219 32 219 
219 219 219 
219 32 219 
219 219 219 
219 219 219 
219 32 219 
219 219 219 
32 32 219 
219 219 219 

//Struct:
//line 1: Height and Width
//line 2: Color
//next 10 WxH Blocks: Numbers's ASCII
