7 50
223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 223 0 
68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 
79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 
0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 
78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 
79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 84 69 82 0 249 0 68 79 0 78 79 84 0 69 78 
220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 220 0 
15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 
15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 
14 15 14 14 14 15 14 14 14 14 14 15 14 15 14 14 15 14 14 14 15 14 14 14 14 14 15 14 15 14 14 15 14 14 14 15 14 14 14 14 14 15 14 15 14 14 15 14 14 14 
15 7 7 7 15 7 7 7 7 7 15 7 15 7 7 15 7 7 7 15 7 7 7 7 7 15 7 15 7 7 15 7 7 7 15 7 7 7 7 7 15 7 15 7 7 15 7 7 7 15 
6 6 6 15 6 6 6 6 6 15 6 15 6 6 15 6 6 6 15 6 6 6 6 6 15 6 15 6 6 15 6 6 6 15 6 6 6 6 6 15 6 15 6 6 15 6 6 6 15 6 
8 8 15 8 8 8 8 8 15 8 15 8 8 15 8 8 8 15 8 8 8 8 8 15 8 15 8 8 15 8 8 8 15 8 8 8 8 8 15 8 15 8 8 15 8 8 8 15 8 8 
15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 
