7 50
32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 32 223 
65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 
78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 
71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 
69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 
82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 65 78 71 69 82 32 249 32 68 
32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 32 220 
15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 
15 15 15 15 15 8 15 8 15 15 15 15 15 15 8 15 8 15 15 15 15 15 15 8 15 8 15 15 15 15 15 15 8 15 8 15 15 15 15 15 15 8 15 8 15 15 15 15 15 15 
14 14 14 14 8 14 8 14 14 14 14 14 14 8 14 8 14 14 14 14 14 14 8 14 8 14 14 14 14 14 14 8 14 8 14 14 14 14 14 14 8 14 8 14 14 14 14 14 14 8 
7 7 7 8 7 8 7 7 7 7 7 7 8 7 8 7 7 7 7 7 7 8 7 8 7 7 7 7 7 7 8 7 8 7 7 7 7 7 7 8 7 8 7 7 7 7 7 7 8 7 
6 6 8 6 8 6 6 6 6 6 6 8 6 8 6 6 6 6 6 6 8 6 8 6 6 6 6 6 6 8 6 8 6 6 6 6 6 6 8 6 8 6 6 6 6 6 6 8 6 8 
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 
