7 50
177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 
177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 
177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 
177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 
177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 
177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 
177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 177 
228 228 4 228 228 228 228 228 228 228 4 228 228 228 228 228 228 228 4 228 228 228 228 228 228 228 4 228 228 228 228 228 228 228 4 78 78 78 78 78 78 78 4 228 228 228 228 228 228 228 
100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 78 100 100 100 100 100 100 4 228 100 100 100 100 100 100 
100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 78 100 100 100 100 100 100 4 228 100 100 100 100 100 100 
100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 78 100 100 100 100 100 100 4 228 100 100 100 100 100 100 
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 
228 228 228 228 228 228 4 228 228 228 228 228 228 228 4 228 228 228 228 228 228 228 4 228 228 228 228 228 228 228 4 228 228 228 228 228 228 228 4 228 228 228 228 228 228 228 4 228 228 228 
100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 100 100 100 100 4 228 100 100 
