5 32
0 219 219 0 0 219 219 219 0 0 219 219 219 0 219 219 219 0 0 219 219 0 0 219 0 0 219 0 0 219 219 219 
219 0 0 219 0 219 0 0 219 0 0 219 0 0 0 219 0 0 219 0 0 219 0 219 219 0 219 0 219 0 0 0 
219 0 0 219 0 219 0 0 219 0 0 219 0 0 0 219 0 0 219 0 0 219 0 219 0 219 219 0 0 219 219 0 
219 0 0 219 0 219 219 219 0 0 0 219 0 0 0 219 0 0 219 0 0 219 0 219 0 0 219 0 0 0 0 219 
0 219 219 0 0 219 0 0 0 0 0 219 0 0 219 219 219 0 0 219 219 0 0 219 0 0 219 0 219 219 219 0 
15 11 11 15 15 11 11 11 15 15 11 11 11 15 11 11 11 15 15 11 11 15 15 11 15 15 11 15 15 11 11 11 
11 15 15 11 15 11 15 15 11 15 15 11 15 15 15 11 15 15 11 15 15 11 15 11 11 15 11 15 11 15 15 15 
11 15 15 11 15 11 15 15 11 15 15 11 15 15 15 11 15 15 11 15 15 11 15 11 15 11 11 15 15 11 11 15 
11 15 15 11 15 11 11 11 15 15 15 11 15 15 15 11 15 15 11 15 15 11 15 11 15 15 11 15 15 15 15 11 
15 11 11 15 15 11 15 15 15 15 15 11 15 15 11 11 11 15 15 11 11 15 15 11 15 15 11 15 11 11 11 15 
