12 60
176 176 176 176 176 176 176 176 176 176 176 0 0 176 176 176 176 176 176 176 176 176 176 0 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 0 176 176 176 176 176 176 176 176 176 176 176 0 
176 219 219 219 219 219 219 219 219 219 176 176 176 176 219 219 219 219 219 219 219 219 176 176 176 219 219 219 219 176 176 219 219 219 219 176 176 219 219 219 219 219 219 219 219 219 176 176 176 219 219 219 219 219 219 219 219 219 176 176 
176 219 219 219 219 219 219 219 219 219 219 176 176 219 219 219 219 219 219 219 219 219 219 176 176 219 219 219 219 176 176 219 219 219 219 176 176 219 219 219 219 219 219 219 219 219 219 176 176 219 219 219 219 219 219 219 219 219 219 176 
176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 
176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 176 178 178 178 178 176 
176 177 177 177 177 177 177 177 177 177 176 176 176 177 177 177 177 176 176 177 177 177 177 176 176 177 177 177 177 176 176 177 177 177 177 176 176 177 177 177 177 176 176 177 177 177 177 176 176 177 177 177 177 176 176 177 177 177 177 176 
219 177 177 177 177 177 177 177 177 177 219 219 32 177 177 177 177 32 32 177 177 177 177 32 32 177 177 177 177 32 32 177 177 177 177 32 32 177 177 177 177 32 32 177 177 177 177 32 32 177 177 177 177 32 32 177 177 177 177 32 
178 176 176 176 176 178 178 176 176 176 176 178 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 
177 176 176 176 176 177 177 176 176 176 176 177 177 176 176 176 176 177 177 176 176 176 176 177 177 176 176 176 176 177 177 176 176 176 176 177 177 176 176 176 176 177 177 176 176 176 176 177 177 176 176 176 176 177 177 176 176 176 176 177 
176 32 32 32 32 32 32 32 32 32 32 176 178 32 32 32 32 32 32 32 32 32 32 178 178 32 32 32 32 32 32 32 32 32 32 178 178 32 32 32 32 178 178 32 32 32 32 178 178 32 32 32 32 32 32 32 32 32 32 178 
32 32 32 32 32 32 32 32 32 32 32 32 219 219 32 32 32 32 32 32 32 32 219 219 219 219 32 32 32 32 32 32 32 32 219 219 219 32 32 32 32 219 219 32 32 32 32 219 219 32 32 32 32 32 32 32 32 32 219 219 
32 32 32 32 32 32 32 32 32 32 32 0 0 219 219 219 219 219 219 219 219 219 219 0 0 219 219 219 219 219 219 219 219 219 219 0 219 219 219 219 219 219 219 219 219 219 219 219 219 219 219 219 219 219 219 219 219 219 219 0 
110 110 110 110 110 110 110 110 110 110 110 15 15 110 110 110 110 110 110 110 110 110 110 15 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 15 110 110 110 110 110 110 110 110 110 110 110 15 
110 220 220 220 220 220 220 220 220 220 110 110 110 110 220 220 220 220 220 220 220 220 110 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 220 220 220 220 220 110 110 110 220 220 220 220 220 220 220 220 220 110 110 
110 220 220 220 220 220 220 220 220 220 220 110 110 220 220 220 220 220 220 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 220 220 220 220 220 220 110 110 220 220 220 220 220 220 220 220 220 220 110 
110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 
110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 
110 220 220 220 220 220 220 220 220 220 110 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 110 220 220 220 220 110 
248 220 220 220 220 220 220 220 220 220 248 248 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 
248 220 220 220 220 248 248 220 220 220 220 248 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 
248 220 220 220 220 248 248 220 220 220 220 248 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 
248 220 220 220 220 220 220 220 220 220 220 248 143 220 220 220 220 220 220 220 220 220 220 143 143 220 220 220 220 220 220 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 143 143 220 220 220 220 220 220 220 220 220 220 143 
