10 58
219 219 219 219 219 219 219 219 219 0 0 0 0 219 219 219 219 219 219 219 219 0 0 0 219 219 219 219 0 0 219 219 219 219 0 0 219 219 219 219 219 219 219 219 219 0 0 0 219 219 219 219 219 219 219 219 219 0 
219 219 219 219 219 219 219 219 219 219 0 0 219 219 219 219 219 219 219 219 219 219 0 0 219 219 219 219 0 0 219 219 219 219 0 0 219 219 219 219 219 219 219 219 219 219 0 0 219 219 219 219 219 219 219 219 219 219 
178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 
178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 0 0 178 178 178 178 
177 177 177 177 177 177 177 177 177 0 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 
177 177 177 177 177 177 177 177 177 0 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 0 0 177 177 177 177 
176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 
176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 0 0 176 176 176 176 
32 32 32 32 32 32 32 32 32 32 0 0 32 32 32 32 32 32 32 32 32 32 0 0 32 32 32 32 32 32 32 32 32 32 0 0 32 32 32 32 0 0 32 32 32 32 0 0 32 32 32 32 32 32 32 32 32 32 
32 32 32 32 32 32 32 32 32 0 0 0 0 32 32 32 32 32 32 32 32 0 0 0 0 32 32 32 32 32 32 32 32 0 0 0 32 32 32 32 0 0 32 32 32 32 0 0 32 32 32 32 32 32 32 32 32 0 
220 220 220 220 220 220 220 220 220 15 15 15 15 220 220 220 220 220 220 220 220 15 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 220 220 220 220 220 15 15 15 220 220 220 220 220 220 220 220 220 0 
220 220 220 220 220 220 220 220 220 220 15 15 220 220 220 220 220 220 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 220 220 220 220 220 220 15 15 220 220 220 220 220 220 220 220 220 220 
220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 
220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 0 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 
220 220 220 220 220 220 220 220 220 15 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 
220 220 220 220 220 220 220 220 220 15 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 
220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 
220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 
220 220 220 220 220 220 220 220 220 220 15 15 220 220 220 220 220 220 220 220 220 220 15 15 220 220 220 220 220 220 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 15 0 220 220 220 220 220 220 220 220 220 220 
220 220 220 220 220 220 220 220 220 15 15 15 15 220 220 220 220 220 220 220 220 15 15 15 15 220 220 220 220 220 220 220 220 15 15 15 220 220 220 220 15 15 220 220 220 220 15 15 220 220 220 220 220 220 220 220 220 15 
