5 30
32 219 219 32 219 219 219 32 32 219 219 219 32 219 219 219 32 32 219 219 219 32 219 219 219 32 32 219 219 219
219 32 32 32 219 32 32 219 32 219 32 32 32 219 32 32 219 32 32 219 32 32 32 219 32 32 219 32 32 32
219 32 32 32 219 32 32 219 32 219 219 219 32 219 32 32 219 32 32 219 32 32 32 219 32 32 32 219 219 32
219 32 32 32 219 219 219 32 32 219 32 32 32 219 32 32 219 32 32 219 32 32 32 219 32 32 32 32 32 219 
32 219 219 32 219 32 32 219 32 219 219 219 32 219 219 219 32 32 219 219 219 32 32 219 32 32 219 219 219 32
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
